"y","s1","s2","s3","x_exp","x1"
NA,1,0,0,0,-1.0242171327679
NA,0,0,0,0,-0.101140990768555
NA,0,0,0,0,0.536352435740923
NA,0,1,0,0,0.558699308278263
NA,0,1,0,1,1.81091660554138
NA,1,0,1,1,0.290322572304652
NA,1,0,0,0,1.99285108103887
NA,0,1,0,0,0.509488465661945
0,0,0,0,1,0.724409986197132
NA,1,1,1,1,-0.0767170473007577
NA,1,1,1,0,0.827093373823419
NA,1,1,1,1,1.95263587522927
0,0,1,0,1,0.818564205807484
NA,0,0,0,0,-0.564739478912317
NA,0,0,0,0,1.09674996045025
NA,0,0,0,0,-0.868840810674661
NA,1,1,1,1,0.752933765243718
NA,1,1,0,0,0.905130058738473
NA,0,0,0,0,-2.22648669590669
NA,0,0,0,0,-0.911777309637701
NA,0,0,0,1,-0.325467738920855
NA,0,0,0,0,0.155446218738543
NA,0,0,0,0,-1.41361566061768
1,1,0,1,1,1.73426543886848
NA,0,0,0,0,1.1506309203167
NA,0,1,0,0,-0.423610235693915
NA,0,0,1,0,-0.357399331275446
NA,1,1,1,0,1.13921686705922
NA,0,1,0,0,-0.539009714988933
NA,0,0,0,0,0.220690476106944
NA,0,0,1,0,-0.290053421478664
NA,1,1,1,0,-1.22742281190228
NA,0,0,1,0,-0.760523537194228
NA,0,0,1,0,-0.331138717857301
NA,0,1,1,0,-0.881988445177806
NA,1,0,0,0,0.263414304688649
NA,1,1,1,0,-0.804415870650991
0,0,0,1,0,-0.0929226897039195
NA,1,1,1,0,0.320934656967412
NA,0,0,0,0,0.29940777314869
1,0,1,1,0,-0.95497134449874
1,1,1,1,0,0.871557108829655
NA,1,1,1,1,-0.286343380071531
NA,1,1,1,0,0.685974624188956
NA,1,1,1,0,0.950903287269703
NA,0,0,0,0,-0.638737152293834
NA,0,0,0,0,1.51482744966332
NA,0,1,1,0,-1.30286364801564
NA,0,0,0,0,-0.608744546700062
NA,0,0,1,0,-0.285941297552424
NA,1,0,0,1,-0.714770104070315
NA,1,1,1,0,0.71868638380221
NA,0,1,0,0,-0.564838594145291
NA,1,0,0,1,0.042497744558667
NA,1,1,1,0,0.418132921531028
NA,0,0,0,0,-2.23190669643372
NA,0,0,0,0,-1.50067735877759
NA,0,0,0,1,0.00780360722021209
0,0,0,0,1,-2.1317970166907
NA,0,1,1,0,1.76554320862467
NA,1,1,1,1,1.58837659381277
NA,0,0,0,0,-1.41971625402583
0,0,1,0,0,-2.10320732747495
NA,1,1,0,0,0.0765039344055256
NA,0,1,1,0,0.220692946514001
NA,1,0,0,1,-0.388094362164288
NA,0,1,1,1,-0.362830849250303
NA,1,1,1,0,0.491875967912382
NA,0,0,0,1,-0.427915242244991
NA,1,1,1,0,-1.23618626875866
NA,0,0,0,1,0.18732593346562
NA,0,0,1,1,-0.724671135232041
1,1,1,1,1,1.05377023371039
NA,0,0,1,0,2.11618719168985
NA,0,0,0,0,-0.336981366156809
NA,0,1,1,0,-0.283780509979353
NA,0,0,0,0,-0.855620662837758
NA,0,0,1,0,0.581698620165063
NA,1,1,1,0,0.786949600123624
NA,0,1,1,1,0.197016913907599
NA,1,1,1,1,-0.759022745323694
NA,0,0,1,1,0.497700229296339
NA,0,0,0,1,1.01685354732884
NA,0,0,1,1,-1.66608062801067
NA,0,1,1,1,0.102751430493352
1,1,0,1,0,0.0448707443037773
NA,0,0,0,0,-1.00168180330083
NA,1,0,1,0,-0.177715351720046
NA,1,1,1,0,0.294307870424151
NA,0,0,0,0,-0.51809913093788
NA,0,0,0,0,-1.02418822873391
NA,1,1,1,0,-0.827027779375373
NA,0,0,0,0,0.801240641025931
NA,1,1,1,0,1.34716883891948
NA,1,1,1,1,0.214832253201471
NA,1,1,1,0,-0.362919771762641
NA,0,0,0,1,0.332002665267344
NA,1,0,1,0,-1.01362504289592
NA,0,0,0,0,0.149244647022242
NA,0,0,1,0,0.783002880257479
NA,0,0,0,1,1.60410074334444
NA,0,1,0,1,1.09249658416317
0,0,0,0,0,-0.991953832785446
NA,0,0,1,0,1.07822792067076
NA,1,1,1,0,-0.603354118480841
NA,0,1,0,0,0.751747276469574
NA,0,0,0,0,-0.0453259231552611
NA,0,0,0,0,0.419027917794526
NA,0,0,0,0,-1.43363476559499
NA,1,1,1,1,0.00303760987016583
NA,1,1,1,0,-0.0956796809162655
NA,1,1,1,0,1.21581764783554
NA,1,1,1,0,-1.03765348567359
1,1,1,1,0,1.19994199606083
NA,1,1,1,0,-0.32161616425255
NA,0,1,0,0,-0.309579709892688
NA,1,1,1,0,0.216069144939906
NA,1,1,1,0,-0.0897862288023621
1,1,1,1,0,0.201855904326439
NA,0,0,1,1,-0.551787856114456
NA,0,1,0,0,0.596693826593237
NA,0,0,0,0,-1.48409212791997
NA,1,1,1,0,0.920793434550933
NA,0,1,1,1,0.943269575396325
NA,0,0,0,0,-0.786762036998877
NA,1,1,1,0,1.16978533080693
NA,0,0,0,0,-1.22813158672408
NA,1,0,0,0,0.530064035412136
NA,0,0,0,0,1.40563743320176
NA,1,0,0,1,-0.0686410088983183
1,1,1,0,0,-0.0274030872747307
NA,0,0,1,0,-0.438339775064184
NA,1,1,1,0,0.414873232937509
NA,0,0,1,1,-2.3468667415066
NA,0,0,0,0,-1.59210350692947
NA,1,1,1,0,-0.587785255717433
NA,1,0,0,1,-0.365278825939331
NA,1,1,1,0,-0.623978186371574
NA,0,0,1,0,0.285034469876585
NA,0,0,1,0,0.0747485423654773
NA,0,1,0,0,2.02287614082
NA,1,1,1,0,1.34714682302218
NA,0,0,1,0,0.638043532067219
NA,1,0,0,1,0.176071803435199
NA,0,1,0,0,-0.441148706036585
NA,1,1,1,1,1.47764518152232
NA,0,1,1,0,-0.512211463523597
NA,0,0,0,1,-1.31598158533949
NA,1,0,0,0,1.80053408729323
NA,0,0,0,0,-0.842445077102065
0,0,0,0,0,-0.0214603060866906
NA,0,0,1,1,-0.789048511376589
NA,1,1,1,1,0.76499917334717
NA,0,1,1,0,0.204207957269853
NA,1,0,0,1,1.30719403236287
NA,1,1,0,0,0.209270647680164
NA,1,0,1,0,-0.224314669815955
NA,1,1,1,0,-0.573109138215108
NA,1,1,1,0,1.40770552347524
NA,0,0,0,1,0.778280001730412
NA,1,1,1,0,-0.718915590398508
NA,0,1,0,0,0.550327726727434
0,0,0,0,0,0.416660534848788
NA,1,1,0,0,-0.121558316560719
NA,0,1,0,0,-1.53989140395571
NA,0,0,0,1,0.827741380011429
NA,0,1,1,0,0.0352810287207581
NA,1,0,1,0,-0.0702247070885361
NA,0,0,0,0,-1.43327141816008
NA,1,0,0,0,-0.669929103745243
NA,1,1,1,1,0.715614311560844
0,0,0,1,0,-0.885066527467779
NA,1,1,1,1,-0.378953741586127
NA,0,1,1,1,0.358600251196374
NA,0,1,0,0,1.92245921881769
NA,0,0,1,0,-0.379572254463636
NA,0,0,0,0,0.158538323022161
NA,0,0,0,0,0.816344177457975
NA,1,1,1,0,-0.914054077137927
NA,1,1,1,0,0.0636734870540252
NA,1,1,1,1,1.48023058153879
NA,0,0,0,0,0.304491033279764
NA,1,1,1,0,0.275133889392898
NA,0,0,0,0,-0.770420601423636
NA,0,1,0,1,0.886811706093381
NA,0,1,1,0,-0.188690072735063
NA,1,1,1,1,-0.929599889561047
NA,0,1,1,0,-1.79145038311958
NA,0,0,0,1,-0.682657071512425
NA,0,0,0,1,1.29945996444106
NA,0,1,0,0,2.1806665958875
NA,1,0,1,0,-0.668909178652023
NA,0,1,0,0,-0.0287786672308045
NA,0,0,0,0,-0.892445774751692
NA,0,0,0,0,-0.0676576009922885
NA,1,1,0,1,1.04580669689192
NA,1,1,1,0,1.27714608101469
NA,1,0,0,0,0.180909033344268
NA,0,0,0,0,-0.100366818377853
0,0,0,0,0,1.5338309776963
NA,0,0,0,1,-0.278356042534638
NA,1,1,1,0,0.359748615124195
NA,0,0,1,1,2.13631539003142
1,1,1,1,0,0.276789543270761
NA,0,1,1,0,0.369564985263514
NA,0,0,0,1,-0.723574203740285
0,0,0,0,0,0.294180630683512
1,1,1,1,0,2.13061399991696
1,0,1,1,1,0.275196771102944
NA,1,1,1,0,0.594481239266979
NA,1,1,1,1,-1.66678737072961
1,1,1,1,0,-0.636231613091037
NA,0,1,1,0,0.231594692617629
1,1,1,1,1,-0.108608733185548
NA,0,0,0,0,0.247134040955692
NA,0,0,0,0,-0.47561464250856
NA,0,0,0,1,0.191732157754812
NA,0,0,0,0,-0.59274941913362
NA,0,0,0,1,-0.43299953031505
NA,0,0,0,0,1.05165290738627
NA,0,0,1,1,1.21812968345367
NA,0,0,0,1,-1.06296362488011
0,0,0,0,1,-0.613666115595438
0,1,0,0,0,-0.101206540720039
0,0,0,0,1,-0.573817786009509
NA,0,0,0,0,-1.07254748999268
NA,1,1,1,1,-2.2188598323568
NA,0,0,0,0,-0.146351467245679
0,0,0,0,0,-0.729684182664114
NA,1,0,1,0,1.28295160156363
0,0,0,0,0,-0.172563603932182
NA,0,0,0,1,0.0362899497013209
NA,0,0,0,0,0.808720665835735
NA,1,0,0,1,0.0861079567677913
NA,1,1,1,0,1.12474640660171
NA,0,0,0,0,0.350029244372514
NA,0,1,1,0,0.295812989850044
NA,1,1,1,0,-1.68846409775999
NA,1,0,1,1,0.619329834165458
0,0,0,1,0,-1.33285939768399
NA,0,0,0,0,1.62417809642587
NA,1,0,1,0,2.21351496735836
0,1,0,0,0,-0.175745600531456
NA,1,1,1,1,-0.403123940856311
NA,0,0,0,1,-1.07636257391334
NA,0,0,0,1,-0.441471512077011
NA,0,1,1,1,-0.555395085463511
NA,1,1,1,0,-0.684586365894886
NA,1,1,1,0,1.2403370849368
1,1,1,1,0,0.608892259798676
NA,0,0,0,1,-0.995920311486723
NA,1,1,1,0,-0.103006082194362
NA,0,1,1,0,0.599719168431871
1,0,1,1,0,-1.0022277087228
NA,0,1,1,0,-1.82696781118443
NA,0,0,0,0,-0.0419617308379157
NA,0,1,0,0,0.288194278122231
NA,0,0,0,1,-1.34626854751182
NA,1,1,1,0,2.53714986038061
NA,0,0,0,1,-0.929288052335723
NA,1,1,1,1,1.38118169673281
NA,0,0,0,1,-0.0976458970041098
NA,1,0,1,0,1.01458867158428
NA,1,1,1,1,-0.0188911998233965
NA,0,0,0,0,0.247317138978511
NA,1,1,1,0,-1.04997687523555
NA,0,0,0,1,-0.119807795150079
NA,0,0,0,0,-2.12082957135173
NA,0,0,1,1,-0.659274218605277
NA,1,1,1,1,0.459380737548087
NA,1,0,0,0,-0.769397968179666
NA,0,0,0,0,-0.529053301368834
NA,0,0,0,0,-0.533996162126054
NA,0,0,1,0,0.804853774186461
NA,0,0,0,0,-0.575955968683395
1,1,1,1,0,0.726632668768351
NA,1,0,0,0,0.618035628718158
NA,0,0,0,0,0.67173329946071
NA,1,1,1,0,0.431342541762578
NA,0,0,0,0,0.869828103482029
NA,0,0,0,0,-0.840745034529177
NA,1,0,1,1,1.87175477272865
NA,0,0,0,1,-0.130053664162885
NA,0,0,1,0,-0.0932989732469693
NA,1,1,1,1,1.62881044758555
1,0,1,1,0,0.841812226150397
NA,0,0,0,1,-0.112207915940008
NA,1,1,1,0,1.43868749783104
NA,0,0,0,0,1.09525857773707
NA,0,0,0,1,0.555503662101422
NA,0,0,0,0,-0.917173801462577
NA,0,1,0,0,-0.454693254988236
NA,1,1,1,0,0.361607374057342
1,1,1,1,0,0.339830107317689
NA,0,0,0,1,-0.523972312148761
NA,0,0,0,1,-0.0828505499627415
NA,1,1,1,0,0.833482690369645
1,1,1,1,0,-1.49492212808611
NA,1,1,1,0,1.87615866677001
NA,0,1,0,1,0.0507918814802634
NA,1,1,1,0,0.491915770235285
NA,1,1,1,0,2.11826802131679
NA,1,1,1,0,-0.237430106665211
0,0,0,0,0,0.164461650013759
NA,1,1,1,0,1.66696756339424
NA,0,0,0,0,1.08696558306556
NA,0,0,0,1,0.646976645715139
NA,0,0,0,0,-1.93822564541026
NA,1,1,1,1,0.483187022297788
NA,0,1,0,0,-1.3549642914854
NA,1,1,1,0,0.823591888673906
NA,1,1,1,1,-1.16742871872718
NA,1,1,1,1,-0.661030926525572
NA,1,0,1,0,-1.16968845232465
NA,0,1,1,0,-1.04604438422731
NA,0,1,1,1,-0.189015508225753
NA,0,0,0,0,-0.506199385971313
NA,0,0,1,1,1.18331586515013
NA,1,1,1,1,0.213813327775339
0,0,0,0,0,1.82326001212494
NA,1,1,1,0,-0.466884645666339
NA,0,0,0,0,-0.157041963276552
0,0,0,0,0,-0.486729302653488
NA,0,0,0,1,1.50624967678043
NA,0,0,0,0,-0.823891585528829
NA,0,0,0,1,-0.608341410565416
NA,1,1,1,0,-0.586222587752435
NA,0,0,1,1,0.199239393775887
NA,1,1,1,1,1.38186870628454
NA,1,0,1,1,0.524649953505273
NA,0,0,0,1,0.327761699524352
NA,1,1,1,1,0.0925974407096525
NA,1,0,1,0,0.875821180930793
NA,0,0,0,0,-0.541665239448137
NA,1,1,1,1,-0.262445806430546
NA,0,0,1,0,-0.11308617665789
NA,0,0,0,1,-0.466579028779916
NA,1,1,1,0,0.906536509830934
0,0,0,0,0,0.283050598035348
NA,1,0,0,0,0.0516904966045895
NA,1,1,1,0,0.654487457149558
NA,1,1,1,0,-1.04715013787908
NA,1,1,0,1,1.45647312589827
NA,1,1,1,1,-0.0508651098636574
NA,1,1,1,0,-0.338488743390096
NA,1,0,1,1,-0.940648779207355
NA,1,1,1,0,2.96042917814124
NA,0,0,0,0,-0.400361489376538
0,0,1,0,0,-0.02591930730917
NA,1,1,1,1,0.0491679297655049
NA,0,0,0,0,-0.228496671897633
NA,0,0,0,0,-1.35317379588741
NA,1,1,1,1,-2.12349177099741
NA,0,0,0,0,0.349304260618049
NA,0,0,0,0,1.57295245463531
1,1,0,1,0,-0.839523372586917
NA,1,1,1,1,-0.22254741549732
NA,0,0,1,0,-2.06839067550083
NA,0,1,0,0,0.405306479845548
NA,0,0,0,1,-1.69907700045928
NA,1,0,1,1,-0.0381119617978196
NA,0,0,1,0,0.364015772333642
NA,0,0,0,1,0.154122763715521
NA,0,1,0,0,1.61915931948591
NA,0,0,0,1,-0.249997544630306
